patron	frecuencia
++--+-+---+-	1
++-+-+-+-+-	530
-----++-++-	9
----+-----++-	1
--+-+-+-++-	1
---+-++---+-	1
--++-+++++-	2
-+-+-+----+-	3
++-+---+++-	33
+---+-++-+-	3
+-++--++--+-	1
+-+-+-+-++-	1
--+-+----+-	19
++-+--++--+-	1
---+--+-++-	6
+--++--+-+---+-	1
-----+-+-+-	527
+--+-+-+++-	42
-+-+--+-+-+-	5
-+--++++-+-	11
+---+----+-	15
---+-----+-	113
-++---+-++-	1
++++--++-+-	2
++-+-++-++-	2
+-+--+-+--	1
-+--+---+-+-	7
-+++-+--+---+-	1
+--++----+-	5
-+-+----++-	20
+++++++--+-	2
-++--++--+-	229
-+++-+-+-+-	173
-+++---+-+-	235
+-++-+++++-	3
---++---+-	2
--++--+-++-	1
-+-+----+-	2
++-+-+---+-	727
---+--++++-	3
+++-+-+--+-	3
+------+++-	1
++-+-+++++-	1
+---+-+---+-	3
-++--+--+-	1
---+---++-	1
--++++-+-+-	17
---+-++--+-	438
-+--+-++-+-	3
+-+-++++-+-	4
++++-+---+-	33
--+--+-+--+-	1
----++-	1
-+-+++---+-	199
+-++--+-++-	2
+-+---++-++-	1
+-++----++-	1
++--+--+-+-	5
+--+-++-++-	22
+++-+++--+-	1
+-+++--+-+-	8
+-++-++-++-	5
-+-+-+-+++-	111
-+--+-----+-	2
+-----+---+-	3
--++-+-+-+-	292
-+--+----+-	54
--++--++-+-	13
+-+-++++++-	2
+---+-+-+-	1
++----+---+-	3
-+--+-+-+-	1
-+++-+++++-	2
---+-+--++-	213
+---+-+--++-	1
+-+-+++-++-	1
+-++--+-+-+-	1
--+-++++-+-	2
+--++++--+-	15
++---+-+++-	20
+---+++--+-	9
++--+----+-	6
+--+---+--+-	1
-----+-+--+-	2
++-+++-+++-	1
-+-++-+---+-	1
+-----+++-+-	1
--++-+---+-	535
---+-+---+-	3725
+-+--+++-+-	60
+--+----+-+-	4
-+--+++---+-	1
++---+----+-	1
----+--+-+-	3
--+-+++--+-	29
-++++++--+-	2
-++++--+-+-	5
--+--+-+-++-	1
-+++-++-++-	1
---+++-+++-	3
---+--+++-+-	1
+---+-+++-+-	1
--+-+--+-++-	1
+---++---+-	65
+--+++-+++-	2
+++------+-	1
-+--+--+++-	1
-+---+---+--+-	1
-+-++---+-	1
-+---+-+-++-	1
-+-+--+-++-	8
-++---+-+-	1
-----+++-+-	58
+---+-+-++-	1
---+-+---++-	4
+--+--++++-	5
-+---+-+--+-	2
++++-+++++-	1
-+-+-+--+-+-+-	1
++----+--+-	2
+--+-+-+-+-+-	1
----+-+---+-	4
++-+--++-+-	20
+++--+---+-	158
+++--+-+-+-	98
--+---++-+-	8
+-++++--++-	1
--++-++-++-	8
+-+--+----+-	1
-+--+++--+-	39
+----+++++-	2
----+----+-	6
+-+-----++-	1
--+-+--+-+-	27
-+++--++--+-	1
+-+---++-+-	1
++--+-+--++-	1
+--+++++-+-	3
---+--++--+-	1
-++--+++-+-	51
-+-++-+--+-	4
+-+--+-+++-	41
+++--+++++-	1
++-+--+--+-	17
--+-++-+--+-	1
--+--+--+-+-+-	1
+--+---+-++-	1
-+--++---+-	395
++-+-+-+++-	23
--+------+-	11
-----+--++-	45
---+-+++++-	4
------+--+-	1
-+-+--+---++-	1
+-+-+-++--+-	1
-+---+-++--++-	1
--+--+--+-	1
---+--++-+-	70
+-+--+--++-	169
--+--+-+-+-	2791
-+-----+++-	3
-+--+-+---+-	6
+--+-+-+-+-	1656
-+-+++-	1
-+---+-+--	3
-++---++--+-	1
+-+--+-++++-	1
----+--+-	1
--+-+++-++-	1
++-+-+++-+-	46
--+++++--+-	6
+-++---+++-	8
-++--+-+++-	25
---+-+-+---+-	1
---+--+--+-	91
+-++-++--+-	52
-+----+---+-	3
